ID,Type,Name,Link,Icon1,Icon2,,,,,,,,,,,,,,,,,
1,Lentils,Apricot Lentil Soup,http://allrecipes.com/recipe/12979/apricot-lentil-soup/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%2011,peach,soup,,,,,,,,,,,,,,,,,
2,Beef,Beef Bulgogi,http://allrecipes.com/recipe/100606/beef-bulgogi/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,steak,-,,,,,,,,,,,,,,,,,
3,Chicken,Crispy Herb Baked Chicken,http://allrecipes.com/recipe/8509/crispy-herb-baked-chicken/?clickId=right%20rail%204&internalSource=rr_feed_recipe&referringId=8509&referringContentType=recipe,turkey,-,,,,,,,,,,,,,,,,,
4,Pasta,Fettuccini Carbonara,http://allrecipes.com/recipe/42585/fettuccini-carbonara/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%204,pasta,bacon,,,,,,,,,,,,,,,,,
5,Chicken,Grilled Rosemary Chicken Breasts,http://allrecipes.com/recipe/233546/grilled-rosemary-chicken-breasts/?clickId=right%20rail%201&internalSource=rr_feed_recipe&referringId=233546&referringContentType=recipe,turkey,-,,,,,,,,,,,,,,,,,
6,Fish,Grilled Salmon,http://allrecipes.com/recipe/12720/grilled-salmon-i/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%203,fish,salmon,,,,,,,,,,,,,,,,,
7,Fish,Grilled Shrimp Scampi,http://allrecipes.com/recipe/12771/grilled-shrimp-scampi/?clickId=right%20rail%202&internalSource=rr_feed_recipe&referringId=12771&referringContentType=recipe,shrimp,pasta,,,,,,,,,,,,,,,,,
8,Lentils,Mexican Bean Salad,http://allrecipes.com/recipe/14169/mexican-bean-salad/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,vegetable,mexico,,,,,,,,,,,,,,,,,
9,Pasta,Mushroom Orzo,http://allrecipes.com/recipe/85426/mushroom-orzo/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%204,pasta,-,,,,,,,,,,,,,,,,,
10,Pork,Pork Dumplings,http://allrecipes.com/recipe/14759/pork-dumplings/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%205,pork,china,,,,,,,,,,,,,,,,,
11,Pork,Beer Pulled Pork,http://allrecipes.com/recipe/235950/slow-cooker-beer-pulled-pork/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%2015,steak,-,,,,,,,,,,,,,,,,,
12,Beef,Slow Cooker Roast Beef,http://allrecipes.com/recipe/22228/slow-cooker-roast-beef/?clickId=right%20rail%203&internalSource=rr_feed_recipe&referringId=22228&referringContentType=recipe,steak,-,,,,,,,,,,,,,,,,,
13,Vegetables,Spinach and Strawberry Salad,http://allrecipes.com/recipe/16409/spinach-and-strawberry-salad/?internalSource=user%20pref&referringContentType=home%20page&clickId=cardslot%203,vegetable,grapes,,,,,,,,,,,,,,,,, 
14,Vegetables,Vegetarian Korma,http://allrecipes.com/recipe/60598/vegetarian-korma/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,vegetable,india,,,,,,,,,,,,,,,,,
15,Chicken,Chili-Lime Chicken Kabobs,http://allrecipes.com/recipe/19934/chili-lime-chicken-kabobs/?internalSource=user%20pref&referringContentType=home%20page&clickId=cardslot%2015,turkey,kebab,,,,,,,,,,,,,,,,,
16,Chicken,Baked Honey Mustard Chicken,http://allrecipes.com/recipe/8847/baked-honey-mustard-chicken/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2020,turkey,-,,,,,,,,,,,,,,,,,
17,Lentils,Black Bean Veggie Burgers,http://allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2018,hamburger,bean,,,,,,,,,,,,,,,,,
18,Vegetables,Roasted Vegetables,http://allrecipes.com/recipe/9377/roasted-vegetables/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2031,vegetable,kebab,,,,,,,,,,,,,,,,,
19,Chicken,Chicken Tortilla Soup,http://allrecipes.com/recipe/19766/six-can-chicken-tortilla-soup/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2034,turkey,soup,,,,,,,,,,,,,,,,,
20,Vegetables,Roasted Garlic Lemon Broccoli,http://allrecipes.com/recipe/144346/roasted-garlic-lemon-broccoli/?internalSource=recipe%20hub&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2031,vegetable,lemon-1,,,,,,,,,,,,,,,,,
21,Chicken,White Bean Chicken Chili,http://allrecipes.com/recipe/13010/white-bean-chicken-chili/?internalSource=recipe%20hub&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2035,turkey,chili,,,,,,,,,,,,,,,,,
